query_id,baseline_rank,expl_rank,baseline_in_topk,expl_in_topk,query_text
q20105,1.0,2.0,True,True,sort by a token in string python
q20106,1.0,inf,True,False,python check file is readonly
q20107,6.0,inf,True,False,declaring empty numpy array in python
q20108,9.0,41.0,True,True,test for iterable is string in python
q20109,1.0,6.0,True,True,python print results of query loop
q20110,6.0,100.0,True,True,how to save header of fits file to export python
q20111,3.0,19.0,True,True,python calc page align
q20112,24.0,inf,True,False,python numpy array as float
q20113,62.0,23.0,True,True,input string that replaces occurences python
q20114,59.0,inf,True,False,python check all items in list are ints
q20115,3.0,14.0,True,True,how to save variable to text file python
q20116,154.0,inf,False,False,how to skip an index in a for loop python
q20117,34.0,inf,True,False,how to create a tokenization code in python
q20118,118.0,inf,False,False,python raise without parentheses
q20119,14.0,97.0,True,True,how to seperate list with commas python
q20120,10.0,inf,True,False,python asynchronous function call return
q20121,22.0,46.0,True,True,how to make a seconds to time in python
q20122,428.0,inf,False,False,python cast true or false as numbers
q20123,8.0,32.0,True,True,add milliseconds to datetime python
q20124,2.0,15.0,True,True,how to read the last n lines of a program on python
q20125,5.0,9.0,True,True,python mysql get list of table columns
q20126,32.0,inf,True,False,how to get domain part of a url in python
q20127,1.0,inf,True,False,python flatten a nested dictionaary
q20128,5.0,31.0,True,True,python session set get
q20129,19.0,86.0,True,True,python save graph into file
q20130,4.0,3.0,True,True,chmod python windows to remove file
q20131,2.0,12.0,True,True,add suffixes on concat python
q20132,10.0,inf,True,False,how to check python object iterable
q20133,4.0,4.0,True,True,python 3 tkinter open file dialog
q20134,78.0,6.0,True,True,how to indent self python
q20135,1.0,7.0,True,True,tracking centroid of an object python
q20136,7.0,1.0,True,True,python3 ctypes return float array
q20137,1.0,inf,True,False,how to make paragraphs in python
q20138,1.0,97.0,True,True,python rest requests delete
q20139,1.0,17.0,True,True,python replace month number
q20140,55.0,inf,True,False,how to tell what type of data object is in python
q20141,5.0,3.0,True,True,python jsonschema validate schema file
q20142,1.0,1.0,True,True,get wechat access token python
q20143,58.0,inf,True,False,python change str value to int
q20144,3.0,11.0,True,True,implementing drag and drop python
q20145,15.0,63.0,True,True,get unique list from two lists python
q20146,1.0,inf,True,False,python 3 not runnning in git bash
q20147,185.0,inf,False,False,create unknown number of names to print in python
q20148,100.0,8.0,True,True,python json if element exists
q20149,22.0,inf,True,False,number of unique values in list python
q20150,52.0,72.0,True,True,how to randomize items in a list in python
q20151,28.0,inf,True,False,python windows check for keypress
q20152,14.0,23.0,True,True,python bind scrollbar to canvas
q20153,1.0,inf,True,False,python setlevel how to only record error
q20154,67.0,54.0,True,True,format string with *args python
q20155,1.0,52.0,True,True,python get hostip from url
q20156,11.0,77.0,True,True,python numpy masked vailding
q20157,1.0,32.0,True,True,python child widget close signal
q20158,25.0,31.0,True,True,python read from csv into numpy array
